GEOid2,GEOdisplaylabel,total_over_18_pop,hispanic_over_18_pop
48029151900,"Census Tract 1519, Bexar County, Texas",3422,3071
48029152000,"Census Tract 1520, Bexar County, Texas",1192,992
48029152100,"Census Tract 1521, Bexar County, Texas",4350,3066
48029152201,"Census Tract 1522.01, Bexar County, Texas",5595,4127
48029152202,"Census Tract 1522.02, Bexar County, Texas",3088,2070
48029160100,"Census Tract 1601, Bexar County, Texas",3907,3784
48029160200,"Census Tract 1602, Bexar County, Texas",1968,1862
48029160300,"Census Tract 1603, Bexar County, Texas",3894,3659
48029160400,"Census Tract 1604, Bexar County, Texas",3355,3181
48029160501,"Census Tract 1605.01, Bexar County, Texas",2358,2213
48029160502,"Census Tract 1605.02, Bexar County, Texas",2955,2833
48029160600,"Census Tract 1606, Bexar County, Texas",3294,3207
48029160701,"Census Tract 1607.01, Bexar County, Texas",2418,2349
48029160702,"Census Tract 1607.02, Bexar County, Texas",3728,3435
48029160901,"Census Tract 1609.01, Bexar County, Texas",2191,2088
48029160902,"Census Tract 1609.02, Bexar County, Texas",3165,2992
48029161000,"Census Tract 1610, Bexar County, Texas",2570,2387
48029161100,"Census Tract 1611, Bexar County, Texas",5908,5677
48029161200,"Census Tract 1612, Bexar County, Texas",1812,1524
48029161302,"Census Tract 1613.02, Bexar County, Texas",3599,3199
48029161303,"Census Tract 1613.03, Bexar County, Texas",2820,2558
48029161304,"Census Tract 1613.04, Bexar County, Texas",2717,2419
48029161400,"Census Tract 1614, Bexar County, Texas",9545,685
48029161501,"Census Tract 1615.01, Bexar County, Texas",5256,4018
48029161503,"Census Tract 1615.03, Bexar County, Texas",2605,2064
48029161504,"Census Tract 1615.04, Bexar County, Texas",2786,2276
48029161600,"Census Tract 1616, Bexar County, Texas",2676,2026
48029161801,"Census Tract 1618.01, Bexar County, Texas",2734,1508
48029161802,"Census Tract 1618.02, Bexar County, Texas",3311,2420
48029161901,"Census Tract 1619.01, Bexar County, Texas",1008,707
48029161902,"Census Tract 1619.02, Bexar County, Texas",6988,4743
48029162001,"Census Tract 1620.01, Bexar County, Texas",1631,1209
48029162003,"Census Tract 1620.03, Bexar County, Texas",3666,2670
48029162004,"Census Tract 1620.04, Bexar County, Texas",2841,2308
48029170101,"Census Tract 1701.01, Bexar County, Texas",2632,2476
48029170102,"Census Tract 1701.02, Bexar County, Texas",2716,2630
48029170200,"Census Tract 1702, Bexar County, Texas",3699,3549
48029170300,"Census Tract 1703, Bexar County, Texas",4361,4141
48029170401,"Census Tract 1704.01, Bexar County, Texas",3010,2691
48029170402,"Census Tract 1704.02, Bexar County, Texas",3644,3474
48029170500,"Census Tract 1705, Bexar County, Texas",3367,3050
48029170600,"Census Tract 1706, Bexar County, Texas",3411,3080
48029170700,"Census Tract 1707, Bexar County, Texas",3353,3243
48029170800,"Census Tract 1708, Bexar County, Texas",1111,1057
48029170900,"Census Tract 1709, Bexar County, Texas",3029,2791
48029171000,"Census Tract 1710, Bexar County, Texas",3848,3759
48029171100,"Census Tract 1711, Bexar County, Texas",2610,2479
48029171200,"Census Tract 1712, Bexar County, Texas",2928,2824
48029171301,"Census Tract 1713.01, Bexar County, Texas",2022,1941
48029171302,"Census Tract 1713.02, Bexar County, Texas",3946,3357
48029171401,"Census Tract 1714.01, Bexar County, Texas",2632,2390
48029171402,"Census Tract 1714.02, Bexar County, Texas",3673,3553
48029171501,"Census Tract 1715.01, Bexar County, Texas",2004,1808
48029171502,"Census Tract 1715.02, Bexar County, Texas",3414,2975
48029171601,"Census Tract 1716.01, Bexar County, Texas",2830,2565
48029171602,"Census Tract 1716.02, Bexar County, Texas",1976,1760
48029171700,"Census Tract 1717, Bexar County, Texas",5148,3739
48029171801,"Census Tract 1718.01, Bexar County, Texas",3818,3018
48029171802,"Census Tract 1718.02, Bexar County, Texas",4393,3439
48029171902,"Census Tract 1719.02, Bexar County, Texas",6519,4162
