GEOid,GEOid2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
1400000US48029121507,48029121507,"Census Tract 1215.07, Bexar County, Texas",5202,624,3092,389,2110,625
1400000US48029121508,48029121508,"Census Tract 1215.08, Bexar County, Texas",5426,777,3229,740,2197,463
1400000US48029121601,48029121601,"Census Tract 1216.01, Bexar County, Texas",5138,450,3182,519,1956,436
1400000US48029121604,48029121604,"Census Tract 1216.04, Bexar County, Texas",6644,616,4313,527,2331,517
1400000US48029121605,48029121605,"Census Tract 1216.05, Bexar County, Texas",2207,210,1392,232,815,202
1400000US48029121606,48029121606,"Census Tract 1216.06, Bexar County, Texas",4731,328,3239,371,1492,326
1400000US48029121701,48029121701,"Census Tract 1217.01, Bexar County, Texas",3733,476,2652,382,1081,335
1400000US48029121702,48029121702,"Census Tract 1217.02, Bexar County, Texas",6540,518,4844,463,1696,436
1400000US48029121802,48029121802,"Census Tract 1218.02, Bexar County, Texas",7378,621,4036,511,3342,549
1400000US48029121803,48029121803,"Census Tract 1218.03, Bexar County, Texas",4750,481,2223,446,2527,375
1400000US48029121804,48029121804,"Census Tract 1218.04, Bexar County, Texas",6617,591,3249,519,3368,676
1400000US48029121808,48029121808,"Census Tract 1218.08, Bexar County, Texas",3154,325,1689,282,1465,292
1400000US48029121809,48029121809,"Census Tract 1218.09, Bexar County, Texas",4578,375,3291,432,1287,422
1400000US48029121810,48029121810,"Census Tract 1218.10, Bexar County, Texas",4706,324,2861,280,1845,376
1400000US48029121811,48029121811,"Census Tract 1218.11, Bexar County, Texas",4541,254,2341,251,2200,273
1400000US48029121812,48029121812,"Census Tract 1218.12, Bexar County, Texas",6026,569,3404,423,2622,555
1400000US48029121813,48029121813,"Census Tract 1218.13, Bexar County, Texas",2260,331,1433,205,827,358
1400000US48029121903,48029121903,"Census Tract 1219.03, Bexar County, Texas",4948,279,3778,239,1170,238
1400000US48029121904,48029121904,"Census Tract 1219.04, Bexar County, Texas",3626,331,2695,299,931,242
1400000US48029121905,48029121905,"Census Tract 1219.05, Bexar County, Texas",4407,366,3199,387,1208,259
1400000US48029121906,48029121906,"Census Tract 1219.06, Bexar County, Texas",5036,611,3286,462,1750,381
1400000US48029121907,48029121907,"Census Tract 1219.07, Bexar County, Texas",7395,610,4629,476,2766,453
1400000US48029121908,48029121908,"Census Tract 1219.08, Bexar County, Texas",2018,249,1515,257,503,181
1400000US48029121909,48029121909,"Census Tract 1219.09, Bexar County, Texas",3460,408,1597,348,1863,410
1400000US48029121910,48029121910,"Census Tract 1219.10, Bexar County, Texas",3988,211,2673,265,1315,206
1400000US48029130200,48029130200,"Census Tract 1302, Bexar County, Texas",1777,316,833,293,944,265
1400000US48029130300,48029130300,"Census Tract 1303, Bexar County, Texas",3072,487,818,302,2254,434
1400000US48029130401,48029130401,"Census Tract 1304.01, Bexar County, Texas",4057,529,618,189,3439,535
1400000US48029130402,48029130402,"Census Tract 1304.02, Bexar County, Texas",2994,550,1242,433,1752,505
1400000US48029130500,48029130500,"Census Tract 1305, Bexar County, Texas",3602,438,1287,255,2315,459
1400000US48029130600,48029130600,"Census Tract 1306, Bexar County, Texas",4819,607,1793,326,3026,650
1400000US48029130700,48029130700,"Census Tract 1307, Bexar County, Texas",2348,367,407,215,1941,330
1400000US48029130800,48029130800,"Census Tract 1308, Bexar County, Texas",5239,662,3581,475,1658,581
1400000US48029130900,48029130900,"Census Tract 1309, Bexar County, Texas",4256,501,2074,389,2182,556
1400000US48029131000,48029131000,"Census Tract 1310, Bexar County, Texas",4405,443,2864,438,1541,280
1400000US48029131100,48029131100,"Census Tract 1311, Bexar County, Texas",2130,415,1280,378,850,202
1400000US48029131200,48029131200,"Census Tract 1312, Bexar County, Texas",2679,340,1365,249,1314,295
1400000US48029131300,48029131300,"Census Tract 1313, Bexar County, Texas",6200,1112,3394,631,2806,1026
1400000US48029131401,48029131401,"Census Tract 1314.01, Bexar County, Texas",5902,598,2872,516,3030,412
1400000US48029131402,48029131402,"Census Tract 1314.02, Bexar County, Texas",2437,369,1146,249,1291,373
1400000US48029131503,48029131503,"Census Tract 1315.03, Bexar County, Texas",3318,327,2232,412,1086,334
1400000US48029131504,48029131504,"Census Tract 1315.04, Bexar County, Texas",4260,429,2196,359,2064,427
1400000US48029131505,48029131505,"Census Tract 1315.05, Bexar County, Texas",3315,332,1587,322,1728,239
1400000US48029131506,48029131506,"Census Tract 1315.06, Bexar County, Texas",3305,355,1376,290,1929,415
1400000US48029131507,48029131507,"Census Tract 1315.07, Bexar County, Texas",6753,671,2660,458,4093,801
1400000US48029131601,48029131601,"Census Tract 1316.01, Bexar County, Texas",1603,265,1126,209,477,200
1400000US48029131606,48029131606,"Census Tract 1316.06, Bexar County, Texas",4305,391,2927,340,1378,293
1400000US48029131608,48029131608,"Census Tract 1316.08, Bexar County, Texas",4055,548,2310,307,1745,516
1400000US48029131609,48029131609,"Census Tract 1316.09, Bexar County, Texas",7949,698,4809,614,3140,505
1400000US48029131610,48029131610,"Census Tract 1316.10, Bexar County, Texas",6265,568,4020,561,2245,458
1400000US48029131611,48029131611,"Census Tract 1316.11, Bexar County, Texas",1547,282,1053,228,494,235
1400000US48029131612,48029131612,"Census Tract 1316.12, Bexar County, Texas",1149,260,736,137,413,257
1400000US48029131613,48029131613,"Census Tract 1316.13, Bexar County, Texas",5193,401,3285,393,1908,292
1400000US48029131614,48029131614,"Census Tract 1316.14, Bexar County, Texas",3416,368,2249,300,1167,298
1400000US48029131615,48029131615,"Census Tract 1316.15, Bexar County, Texas",6164,760,3477,510,2687,623
1400000US48029131700,48029131700,"Census Tract 1317, Bexar County, Texas",1047,307,1029,302,18,20
1400000US48029131801,48029131801,"Census Tract 1318.01, Bexar County, Texas",2617,325,2055,280,562,324
1400000US48029131802,48029131802,"Census Tract 1318.02, Bexar County, Texas",6068,623,4554,669,1514,338
1400000US48029140100,48029140100,"Census Tract 1401, Bexar County, Texas",1960,317,325,164,1635,268
1400000US48029140200,48029140200,"Census Tract 1402, Bexar County, Texas",3237,390,324,132,2913,391
1400000US48029140300,48029140300,"Census Tract 1403, Bexar County, Texas",3343,424,198,78,3145,446
1400000US48029140400,48029140400,"Census Tract 1404, Bexar County, Texas",3852,414,452,201,3400,447
1400000US48029140500,48029140500,"Census Tract 1405, Bexar County, Texas",4066,388,522,165,3544,420
1400000US48029140600,48029140600,"Census Tract 1406, Bexar County, Texas",2356,357,277,108,2079,331
1400000US48029140700,48029140700,"Census Tract 1407, Bexar County, Texas",4590,420,1134,251,3456,388
1400000US48029140800,48029140800,"Census Tract 1408, Bexar County, Texas",4735,508,711,127,4024,509
1400000US48029140900,48029140900,"Census Tract 1409, Bexar County, Texas",1892,303,184,119,1708,285
1400000US48029141000,48029141000,"Census Tract 1410, Bexar County, Texas",3339,526,568,171,2771,501
1400000US48029141101,48029141101,"Census Tract 1411.01, Bexar County, Texas",5134,1028,1460,584,3674,783
1400000US48029141102,48029141102,"Census Tract 1411.02, Bexar County, Texas",3580,579,598,171,2982,624
1400000US48029141200,48029141200,"Census Tract 1412, Bexar County, Texas",6945,634,1440,245,5505,614
1400000US48029141300,48029141300,"Census Tract 1413, Bexar County, Texas",5485,575,2091,384,3394,460
