GEOid2,GEOdisplaylabel,hispanic_pop_perc
48029150501,"Census Tract 1505.01, Bexar County, Texas",95
48029150502,"Census Tract 1505.02, Bexar County, Texas",97
48029150600,"Census Tract 1506, Bexar County, Texas",95
48029150700,"Census Tract 1507, Bexar County, Texas",93
48029150800,"Census Tract 1508, Bexar County, Texas",85
48029150900,"Census Tract 1509, Bexar County, Texas",86
48029151000,"Census Tract 1510, Bexar County, Texas",92
48029151100,"Census Tract 1511, Bexar County, Texas",94
48029151200,"Census Tract 1512, Bexar County, Texas",93
48029151301,"Census Tract 1513.01, Bexar County, Texas",92
48029151302,"Census Tract 1513.02, Bexar County, Texas",91
48029151400,"Census Tract 1514, Bexar County, Texas",88
48029151500,"Census Tract 1515, Bexar County, Texas",80
48029151600,"Census Tract 1516, Bexar County, Texas",79
48029151700,"Census Tract 1517, Bexar County, Texas",85
48029151900,"Census Tract 1519, Bexar County, Texas",90
48029152000,"Census Tract 1520, Bexar County, Texas",83
48029152100,"Census Tract 1521, Bexar County, Texas",70
48029152201,"Census Tract 1522.01, Bexar County, Texas",74
48029152202,"Census Tract 1522.02, Bexar County, Texas",67
48029160100,"Census Tract 1601, Bexar County, Texas",97
48029160200,"Census Tract 1602, Bexar County, Texas",95
48029160300,"Census Tract 1603, Bexar County, Texas",94
48029160400,"Census Tract 1604, Bexar County, Texas",95
48029160501,"Census Tract 1605.01, Bexar County, Texas",94
48029160502,"Census Tract 1605.02, Bexar County, Texas",96
48029160600,"Census Tract 1606, Bexar County, Texas",97
48029160701,"Census Tract 1607.01, Bexar County, Texas",97
48029160702,"Census Tract 1607.02, Bexar County, Texas",92
48029160901,"Census Tract 1609.01, Bexar County, Texas",95
48029160902,"Census Tract 1609.02, Bexar County, Texas",95
48029161000,"Census Tract 1610, Bexar County, Texas",93
48029161100,"Census Tract 1611, Bexar County, Texas",96
48029161200,"Census Tract 1612, Bexar County, Texas",84
48029161302,"Census Tract 1613.02, Bexar County, Texas",89
48029161303,"Census Tract 1613.03, Bexar County, Texas",91
48029161304,"Census Tract 1613.04, Bexar County, Texas",89
48029161400,"Census Tract 1614, Bexar County, Texas",7
48029161501,"Census Tract 1615.01, Bexar County, Texas",76
48029161503,"Census Tract 1615.03, Bexar County, Texas",79
48029161504,"Census Tract 1615.04, Bexar County, Texas",82
48029161600,"Census Tract 1616, Bexar County, Texas",76
48029161801,"Census Tract 1618.01, Bexar County, Texas",55
48029161802,"Census Tract 1618.02, Bexar County, Texas",73
48029161901,"Census Tract 1619.01, Bexar County, Texas",70
48029161902,"Census Tract 1619.02, Bexar County, Texas",68
48029162001,"Census Tract 1620.01, Bexar County, Texas",74
48029162003,"Census Tract 1620.03, Bexar County, Texas",73
48029162004,"Census Tract 1620.04, Bexar County, Texas",81
48029170101,"Census Tract 1701.01, Bexar County, Texas",94
48029170102,"Census Tract 1701.02, Bexar County, Texas",97
48029170200,"Census Tract 1702, Bexar County, Texas",96
48029170300,"Census Tract 1703, Bexar County, Texas",95
48029170401,"Census Tract 1704.01, Bexar County, Texas",89
48029170402,"Census Tract 1704.02, Bexar County, Texas",95
48029170500,"Census Tract 1705, Bexar County, Texas",91
48029170600,"Census Tract 1706, Bexar County, Texas",90
48029170700,"Census Tract 1707, Bexar County, Texas",97
48029170800,"Census Tract 1708, Bexar County, Texas",95
48029170900,"Census Tract 1709, Bexar County, Texas",92
48029171000,"Census Tract 1710, Bexar County, Texas",98
48029171100,"Census Tract 1711, Bexar County, Texas",95
48029171200,"Census Tract 1712, Bexar County, Texas",96
48029171301,"Census Tract 1713.01, Bexar County, Texas",96
48029171302,"Census Tract 1713.02, Bexar County, Texas",85
48029171401,"Census Tract 1714.01, Bexar County, Texas",91
48029171402,"Census Tract 1714.02, Bexar County, Texas",97
48029171501,"Census Tract 1715.01, Bexar County, Texas",90
48029171502,"Census Tract 1715.02, Bexar County, Texas",87
48029171601,"Census Tract 1716.01, Bexar County, Texas",91
48029171602,"Census Tract 1716.02, Bexar County, Texas",89
48029171700,"Census Tract 1717, Bexar County, Texas",73
48029171801,"Census Tract 1718.01, Bexar County, Texas",79
48029171802,"Census Tract 1718.02, Bexar County, Texas",78
48029171902,"Census Tract 1719.02, Bexar County, Texas",64
48029171903,"Census Tract 1719.03, Bexar County, Texas",71
48029171912,"Census Tract 1719.12, Bexar County, Texas",57
48029171913,"Census Tract 1719.13, Bexar County, Texas",67
48029171914,"Census Tract 1719.14, Bexar County, Texas",64
48029171915,"Census Tract 1719.15, Bexar County, Texas",60
48029171916,"Census Tract 1719.16, Bexar County, Texas",56
48029171917,"Census Tract 1719.17, Bexar County, Texas",56
48029171918,"Census Tract 1719.18, Bexar County, Texas",47
48029171919,"Census Tract 1719.19, Bexar County, Texas",64
48029171920,"Census Tract 1719.20, Bexar County, Texas",68
48029171921,"Census Tract 1719.21, Bexar County, Texas",72
48029171922,"Census Tract 1719.22, Bexar County, Texas",69
48029171923,"Census Tract 1719.23, Bexar County, Texas",62
48029171924,"Census Tract 1719.24, Bexar County, Texas",43
48029171925,"Census Tract 1719.25, Bexar County, Texas",57
