GEOid,GEOid2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
1400000US48029121120,48029121120,"Census Tract 1211.20, Bexar County, Texas",5536,466,3265,430,2271,544
1400000US48029121121,48029121121,"Census Tract 1211.21, Bexar County, Texas",2865,163,2190,133,675,135
1400000US48029121122,48029121122,"Census Tract 1211.22, Bexar County, Texas",5402,335,3602,348,1800,211
1400000US48029121203,48029121203,"Census Tract 1212.03, Bexar County, Texas",3921,376,1556,199,2365,367
1400000US48029121204,48029121204,"Census Tract 1212.04, Bexar County, Texas",7530,610,4319,482,3211,595
1400000US48029121205,48029121205,"Census Tract 1212.05, Bexar County, Texas",3889,567,1773,484,2116,455
1400000US48029121206,48029121206,"Census Tract 1212.06, Bexar County, Texas",8067,660,3791,613,4276,703
1400000US48029121300,48029121300,"Census Tract 1213, Bexar County, Texas",6039,475,3845,442,2194,493
1400000US48029121402,48029121402,"Census Tract 1214.02, Bexar County, Texas",5341,499,1989,383,3352,463
1400000US48029121403,48029121403,"Census Tract 1214.03, Bexar County, Texas",5217,501,3004,385,2213,398
1400000US48029121404,48029121404,"Census Tract 1214.04, Bexar County, Texas",5102,463,2595,397,2507,471
1400000US48029121501,48029121501,"Census Tract 1215.01, Bexar County, Texas",7542,441,4865,462,2677,427
1400000US48029121504,48029121504,"Census Tract 1215.04, Bexar County, Texas",6907,577,4352,496,2555,582
1400000US48029121505,48029121505,"Census Tract 1215.05, Bexar County, Texas",4660,361,2849,395,1811,348
1400000US48029121506,48029121506,"Census Tract 1215.06, Bexar County, Texas",5100,557,2351,427,2749,591
1400000US48029121507,48029121507,"Census Tract 1215.07, Bexar County, Texas",4522,463,3027,351,1495,379
1400000US48029121508,48029121508,"Census Tract 1215.08, Bexar County, Texas",5009,471,2884,541,2125,434
1400000US48029121601,48029121601,"Census Tract 1216.01, Bexar County, Texas",4593,462,2699,411,1894,458
1400000US48029121604,48029121604,"Census Tract 1216.04, Bexar County, Texas",7590,550,5691,665,1899,431
1400000US48029121605,48029121605,"Census Tract 1216.05, Bexar County, Texas",2333,225,1465,185,868,204
